date,total_cases
2020-08-10,82014907.0
2020-08-11,83087578.0
2020-08-12,84201386.0
2020-08-13,85378749.0
2020-08-14,86626874.0
2020-08-15,87627841.0
2020-08-16,88477740.0
2020-08-17,89355862.0
2020-08-18,90405337.0
2020-08-19,91535416.0
2020-08-20,92637159.0
2020-08-21,93711192.0
2020-08-22,94768190.0
2020-08-23,95593169.0
2020-08-24,96535794.0
2020-08-25,97532621.0
2020-08-26,98676221.0
2020-08-27,99853751.0
2020-08-28,101016226.0
2020-08-29,102070451.0
2020-08-30,102956646.0
2020-08-31,104051965.0
2020-09-01,105138799.0
2020-09-02,106291339.0
2020-09-03,107459656.0
2020-09-04,108693904.0
2020-09-05,109802772.0
2020-09-06,110735399.0
2020-09-07,111649158.0
2020-09-08,112658327.0
2020-09-09,113826196.0
2020-09-10,115074699.0
2020-09-11,116375271.0
2020-09-12,117551158.0
2020-09-13,118559371.0
2020-09-14,119675725.0
2020-09-15,120826686.0
2020-09-16,122083969.0
2020-09-17,123382298.0
2020-09-18,124738234.0
2020-09-19,125932703.0
2020-09-20,126979400.0
2020-09-21,128071663.0
2020-09-22,129242945.0
2020-09-23,130533291.0
2020-09-24,131862397.0
2020-09-25,133234304.0
2020-09-26,134403014.0
2020-09-27,135420159.0
2020-09-28,136525559.0
2020-09-29,137681174.0
2020-09-30,139037795.0
2020-10-01,140362596.0
2020-10-02,141731458.0
2020-10-03,142959007.0
2020-10-04,144030225.0
2020-10-05,145333080.0
2020-10-06,146645933.0
2020-10-07,148111979.0
2020-10-08,149623568.0
2020-10-09,151145573.0
2020-10-10,152633633.0
2020-10-11,153838709.0
2020-10-12,155094543.0
2020-10-13,156442574.0
2020-10-14,158065524.0
2020-10-15,159812758.0
2020-10-16,161564201.0
2020-10-17,163144433.0
2020-10-18,164553932.0
2020-10-19,166181756.0
2020-10-20,167853909.0
2020-10-21,169770179.0
2020-10-22,171833946.0
2020-10-23,173995812.0
2020-10-24,175958103.0
2020-10-25,177497954.0
2020-10-26,179664256.0
2020-10-27,181708417.0
2020-10-28,183985738.0
2020-10-29,186415880.0
2020-10-30,188937718.0
2020-10-31,190988836.0
2020-11-01,192889603.0
2020-11-02,195402677.0
2020-11-03,197834643.0
2020-11-04,200012589.0
2020-11-05,202738851.0
2020-11-06,205466531.0
2020-11-07,208071626.0
2020-11-08,210177030.0
2020-11-09,212359693.0
2020-11-10,214858384.0
2020-11-11,217589267.0
2020-11-12,220377942.0
2020-11-13,223223061.0
2020-11-14,225712829.0
2020-11-15,227746666.0
2020-11-16,230024679.0
2020-11-17,232670213.0
2020-11-18,235372419.0
2020-11-19,238183638.0
2020-11-20,241065260.0
2020-11-21,243560033.0
2020-11-22,245611207.0
2020-11-23,247868305.0
2020-11-24,250401676.0
2020-11-25,253087184.0
2020-11-26,255618152.0
2020-11-27,258537253.0
2020-11-28,261067118.0
2020-11-29,263082264.0
2020-11-30,265207256.0
2020-12-01,267833480.0
2020-12-02,270558435.0
2020-12-03,273475374.0
2020-12-04,276368213.0
2020-12-05,279090769.0
2020-12-06,281328950.0
2020-12-07,283516895.0
2020-12-08,286221997.0
2020-12-09,289062981.0
2020-12-10,295231420.0
2020-12-11,298210982.0
2020-12-12,300906002.0
2020-12-13,303144495.0
2020-12-14,305400155.0
2020-12-15,308204528.0
2020-12-16,311271762.0
2020-12-17,314400907.0
2020-12-18,317458414.0
2020-12-19,320064452.0
2020-12-20,322303367.0
2020-12-21,324611963.0
2020-12-22,327431828.0
2020-12-23,330364411.0
2020-12-24,333275939.0
2020-12-25,335330201.0
2020-12-26,337450631.0
2020-12-27,339156038.0
2020-12-28,341245165.0
2020-12-29,344091934.0
2020-12-30,347225682.0
2020-12-31,350708712.0
2021-01-01,353137149.0
2021-01-02,355557311.0
2021-01-03,357718265.0
2021-01-04,360054684.0
2021-01-05,363215472.0
2021-01-06,366573925.0
2021-01-07,370363189.0
2021-01-08,373830396.0
2021-01-09,376986751.0
2021-01-10,379430760.0
2021-01-11,382009243.0
2021-01-12,384986606.0
2021-01-13,388166251.0
2021-01-14,391359095.0
2021-01-15,394602319.0
2021-01-16,397318512.0
2021-01-17,399509998.0
2021-01-18,401724126.0
2021-01-19,404230835.0
2021-01-20,407212489.0
2021-01-21,409988755.0
2021-01-22,412802221.0
2021-01-23,415200637.0
2021-01-24,417130061.0
2021-01-25,419197609.0
2021-01-26,421584465.0
2021-01-27,424164679.0
2021-01-28,426755389.0
2021-01-29,429264651.0
2021-01-30,431446510.0
2021-01-31,433066651.0
2021-02-01,434965910.0
2021-02-02,436956478.0
2021-02-03,439205070.0
2021-02-04,441199869.0
2021-02-05,443490724.0
2021-02-06,445312229.0
2021-02-07,446787635.0
2021-02-08,448232373.0
2021-02-09,449961915.0
2021-02-10,451850208.0
2021-02-11,453740641.0
2021-02-12,455567983.0
2021-02-13,457167708.0
2021-02-14,458462835.0
2021-02-15,459657581.0
2021-02-16,461195315.0
2021-02-17,462861535.0
2021-02-18,464619654.0
2021-02-19,466376994.0
2021-02-20,467966721.0
2021-02-21,469320520.0
2021-02-22,470570221.0
2021-02-23,472252897.0
2021-02-24,474179097.0
2021-02-25,476123497.0
2021-02-26,478020387.0
2021-02-27,479716066.0
2021-02-28,481037534.0
2021-03-01,482333241.0
2021-03-02,483630298.0
2021-03-03,485547693.0
2021-03-04,487518995.0
2021-03-05,489454419.0
2021-03-06,491228604.0
2021-03-07,492821649.0
2021-03-08,494107113.0
2021-03-09,495899032.0
2021-03-10,497942720.0
2021-03-11,500016225.0
2021-03-12,502126668.0
2021-03-13,504083599.0
2021-03-14,505651952.0
2021-03-15,507157863.0
2021-03-16,509181242.0
2021-03-17,511561862.0
2021-03-18,513927571.0
2021-03-19,516346046.0
2021-03-20,518483742.0
2021-03-21,520362500.0
2021-03-22,522164883.0
2021-03-23,524391687.0
2021-03-24,527150182.0
2021-03-25,529961675.0
2021-03-26,532717132.0
2021-03-27,535215865.0
2021-03-28,537249859.0
2021-03-29,539194534.0
2021-03-30,541661423.0
2021-03-31,544607839.0
2021-04-01,547647896.0
2021-04-02,550369631.0
2021-04-03,552582324.0
2021-04-04,554976955.0
2021-04-05,557033411.0
2021-04-06,559551597.0
2021-04-07,562416181.0
2021-04-08,566025385.0
2021-04-09,569147781.0
2021-04-10,571919720.0
2021-04-11,574882552.0
2021-04-12,577429977.0
2021-04-13,580721942.0
2021-04-14,584185630.0
2021-04-15,587613762.0
2021-04-16,591189037.0
2021-04-17,594473525.0
2021-04-18,597284121.0
2021-04-19,600141792.0
2021-04-20,603737136.0
2021-04-21,607446596.0
2021-04-22,611207227.0
2021-04-23,614954150.0
2021-04-24,618319397.0
2021-04-25,621303102.0
2021-04-26,624097889.0
2021-04-27,627643366.0
2021-04-28,631395161.0
2021-04-29,635096893.0
2021-04-30,638726427.0
2021-05-01,641994167.0
2021-05-02,644766550.0
2021-05-03,647567248.0
2021-05-04,650878797.0
2021-05-05,654370868.0
2021-05-06,657949902.0
2021-05-07,661368889.0
2021-05-08,664587152.0
2021-05-09,667172334.0
2021-05-10,669725396.0
2021-05-11,672775017.0
2021-05-12,675890684.0
2021-05-13,678890435.0
2021-05-14,681788635.0
2021-05-15,684363333.0
2021-05-16,686584911.0
2021-05-17,688797011.0
2021-05-18,691351631.0
2021-05-19,694116230.0
2021-05-20,694934911.0
2021-05-21,697489528.0
2021-05-22,699816408.0
2021-05-23,701763002.0
2021-05-24,703592930.0
2021-05-25,705766057.0
2021-05-26,708091310.0
2021-05-27,710330643.0
2021-05-28,712389710.0
2021-05-29,714339914.0
2021-05-30,715920100.0
2021-05-31,717489543.0
2021-06-01,719366232.0
2021-06-02,721344159.0
2021-06-03,723309458.0
2021-06-04,725037830.0
2021-06-05,726644688.0
2021-06-06,727951456.0
2021-06-07,729258626.0
2021-06-08,730770163.0
2021-06-09,732469860.0
2021-06-10,734314051.0
2021-06-11,736021608.0
2021-06-12,737506926.0
2021-06-13,738726224.0
2021-06-14,739978905.0
2021-06-15,741496804.0
2021-06-16,743068162.0
2021-06-17,744664747.0
2021-06-18,746292082.0
2021-06-19,747694582.0
2021-06-20,748913496.0
2021-06-21,750112768.0
2021-06-22,751769492.0
2021-06-23,753372906.0
2021-06-24,755020474.0
2021-06-25,756704808.0
2021-06-26,758164547.0
2021-06-27,759413831.0
2021-06-28,760762499.0
2021-06-29,762305562.0
